genero,artista,cancion,popularidad,ano
reggaeton,Lenny Tavárez,"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",66,2024
reggaeton,Yandel,Encantadora,81,2015
reggaeton,Yandel,Brickell,78,2024
reggaeton,Yandel,Yandel 150,73,2023
reggaeton,Yandel,Explícale (feat. Cosculluela & Brytiago) - Remix,73,2018
reggaeton,Yandel,Báilame - Remix,72,2018
reggaeton,Yandel,Explícale (feat. Bad Bunny),71,2017
reggaeton,Yandel,HABLAME CLARO,65,2024
reggaeton,Yandel,Mayor Que Yo 3,43,2019
reggaeton,Yandel,"QUÍTENME EL TELÉFONO (feat. Yandel, Jay Wheeler)",67,2024
reggaeton,Yandel,CANCIÓN CON YANDEL,69,2020
reggaeton,Ryan Castro,57,85,2024
reggaeton,Ryan Castro,Parte & Choke (with Ryan Castro) - Remix,83,2025
reggaeton,Ryan Castro,QUEMA,80,2024
reggaeton,Ryan Castro,UNA NOCHE EN MEDELLÍN - REMIX,78,2023
reggaeton,Ryan Castro,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",76,2025
reggaeton,Ryan Castro,FDSR,74,2024
reggaeton,Ryan Castro,Monastery,65,2021
reggaeton,Ryan Castro,Mujeriego,66,2022
reggaeton,Ryan Castro,Jordan,71,2022
reggaeton,Ryan Castro,GODIVA,69,2024
reggaeton,Uzielito Mix,Nena Moxita,77,2024
reggaeton,Uzielito Mix,Él No Es Tuyo,76,2025
reggaeton,Uzielito Mix,Linea Del Perreo,68,2023
reggaeton,Uzielito Mix,G Low Kitty,65,2023
reggaeton,Uzielito Mix,Brinca - Spotify Singles,67,2024
reggaeton,Uzielito Mix,Otro Show,66,2023
reggaeton,Uzielito Mix,Ñero Session 23,65,2024
reggaeton,Uzielito Mix,Primos (feat. Dj Kiire),64,2025
reggaeton,Uzielito Mix,Espantan - Remix,63,2023
reggaeton,Uzielito Mix,MARTILLAZO,61,2025
reggaeton,FloyyMenor,Gata Only,80,2024
reggaeton,FloyyMenor,PELIGROSA,83,2024
reggaeton,FloyyMenor,Después De La 1,83,2024
reggaeton,FloyyMenor,APAGA EL CEL,76,2024
reggaeton,FloyyMenor,BANSHEE,79,2025
reggaeton,FloyyMenor,Gata Only (Remix),76,2024
reggaeton,FloyyMenor,Déjame Pensar,74,2024
reggaeton,FloyyMenor,TU TA RICA,74,2024
reggaeton,FloyyMenor,MY LOVE,72,2024
reggaeton,FloyyMenor,TOA,69,2025
reggaeton,Yng Lvcas,flashes,85,2024
reggaeton,Yng Lvcas,La Bebe - Remix,80,2023
reggaeton,Yng Lvcas,Tony Montana,73,2024
reggaeton,Yng Lvcas,Me acuerdo,69,2025
reggaeton,Yng Lvcas,La Bebe,67,2021
reggaeton,Yng Lvcas,Slow Low (Remix) [feat. Yng Lvcas],37,2023
reggaeton,Yng Lvcas,Dramático,56,2025
reggaeton,Yng Lvcas,Perreo Porky,55,2022
reggaeton,Yng Lvcas,Déjame,54,2021
reggaeton,Yng Lvcas,Pégateme,54,2021
reggaeton,Chencho Corleone,Me Porto Bonito,83,2022
reggaeton,Chencho Corleone,Desesperados,80,2021
reggaeton,Chencho Corleone,El Efecto,80,2019
reggaeton,Chencho Corleone,El Efecto - Remix,78,2019
reggaeton,Chencho Corleone,Hola - Remix,74,2022
reggaeton,Chencho Corleone,La Llevo Al Cielo (Ft. Ñengo Flow),72,2022
reggaeton,Chencho Corleone,Una Locura,71,2020
reggaeton,Chencho Corleone,Corazón Roto pt. 3,60,2024
reggaeton,Chencho Corleone,Un Cigarrillo,64,2024
reggaeton,Chencho Corleone,105 F Remix,69,2019
reggaeton,Bellakath,Vaquero - Remix,76,2024
reggaeton,Bellakath,Él No Es Tuyo,76,2025
reggaeton,Bellakath,FRESITA,71,2024
reggaeton,Bellakath,Reggaeton Champagne,71,2023
reggaeton,Bellakath,Hermanas de leche,68,2024
reggaeton,Bellakath,Gatita,63,2023
reggaeton,Bellakath,Y Yo Me Le Pego,65,2023
reggaeton,Bellakath,Yo Lo SE,64,2024
reggaeton,Bellakath,TUMA,63,2023
reggaeton,Bellakath,Lola - Remix,60,2024
reggaeton,Noriel,4K,77,2020
reggaeton,Noriel,"0 Sentimientos (Remix) [feat. Baby Rasta, Darkiel, Messiah & Lyan]",74,2023
reggaeton,Noriel,"La Paso Cabrón (feat. Gigolo y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)",74,2016
reggaeton,Noriel,Diablita (feat. Anuel AA & Baby Rasta),74,2016
reggaeton,Noriel,De las 2 (feat. Bad Bunny & Arcángel),74,2018
reggaeton,Noriel,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,73,2017
reggaeton,Noriel,Suave (Remix),72,2018
reggaeton,Noriel,Explícale (feat. Cosculluela & Brytiago) - Remix,73,2018
reggaeton,Noriel,Los Aparatos,69,2022
reggaeton,Noriel,"Quieres Enamorarme (feat. Bryant Myers, Juhn & Baby Rasta)",69,2016
reggaeton,De La Ghetto,Caile,76,2016
reggaeton,De La Ghetto,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",76,2025
reggaeton,De La Ghetto,La Ocasión,75,2018
reggaeton,De La Ghetto,Sensacion Del Bloque,74,2019
reggaeton,De La Ghetto,AMANECIÓ,72,2024
reggaeton,De La Ghetto,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",66,2022
reggaeton,De La Ghetto,FARDOS,71,2024
reggaeton,De La Ghetto,ACHO PR,70,2023
reggaeton,De La Ghetto,ULTRA SOLO REMIX,69,2022
reggaeton,De La Ghetto,NA' CON NADIE,68,2025
reggaeton,Becky G,MAMIII,77,2022
reggaeton,Becky G,Shower,79,2014
reggaeton,Becky G,Mayores,77,2019
reggaeton,Becky G,POR EL CONTRARIO (with Angela Aguilar & Leonardo Aguilar),76,2023
reggaeton,Becky G,Cuando Te Besé,72,2019
reggaeton,Becky G,Sin Pijama,68,2019
reggaeton,Becky G,CHANEL,66,2023
reggaeton,Becky G,Bubalu,70,2018
reggaeton,Becky G,Cough,42,2023
reggaeton,Becky G,Mad Love,37,2018
reggaeton,Dani Flow,"Cachondos Session #1 (feat. Sebastian Esquivel, Eugenio Esquivel, Tiagz & Los Esquivel)",78,2025
reggaeton,Dani Flow,Reggaeton Champagne,71,2023
reggaeton,Dani Flow,Otro Show,66,2023
reggaeton,Dani Flow,La Matraca (Remix),55,2025
reggaeton,Dani Flow,PUTAS Y MOET,61,2025
reggaeton,Dani Flow,MARTILLAZO,61,2025
reggaeton,Dani Flow,LAS QUE NO TIENEN PAPÁ,59,2025
reggaeton,Dani Flow,QUÉ ROLLITO PRIMAVERA,57,2025
reggaeton,Dani Flow,Mesa Que Más Aplauda (Remix),48,2025
reggaeton,Dani Flow,TEN,57,2024
reggaeton,Armenta,TU SI,79,2024
reggaeton,Armenta,Loqueando,76,2025
reggaeton,Armenta,AURORA (feat. Armenta),76,2024
reggaeton,Armenta,PTS,62,2024
reggaeton,Armenta,Baccarat,61,2025
reggaeton,Armenta,FREAKY FREAKY,57,2023
reggaeton,Armenta,Entre Lokeras,54,2025
reggaeton,Armenta,Feliz Año Nuevo,54,2025
reggaeton,Armenta,DiCaprio (with Armenta),51,2024
reggaeton,Armenta,EVEREST,52,2025
reggaeton,Justin Quiles,PORFA,74,2020
reggaeton,Justin Quiles,Cuaderno,73,2019
reggaeton,Justin Quiles,Medallo,72,2021
reggaeton,Justin Quiles,LA RANGER (feat. Myke Towers),70,2024
reggaeton,Justin Quiles,Que Mas Pues - Remix,71,2019
reggaeton,Justin Quiles,Loco,64,2021
reggaeton,Justin Quiles,Egoísta,69,2017
reggaeton,Justin Quiles,"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",66,2024
reggaeton,Justin Quiles,"QUÍTENME EL TELÉFONO (feat. Yandel, Jay Wheeler)",67,2024
reggaeton,Justin Quiles,Conexión,67,2021
reggaeton,Piso 21,Volver,84,2025
reggaeton,Piso 21,Te Vi,77,2018
reggaeton,Piso 21,Déjala Que Vuelva (feat. Manuel Turizo),75,2018
reggaeton,Piso 21,Pa' Olvidarme De Ella,71,2021
reggaeton,Piso 21,Te Amo,72,2018
reggaeton,Piso 21,Los Cachos,69,2022
reggaeton,Piso 21,Puntos Suspensivos,71,2018
reggaeton,Piso 21,Me Llamas (feat. Maluma) - Remix,70,2016
reggaeton,Piso 21,Me Llamas,68,2018
reggaeton,Piso 21,Tan Bonita,66,2021
reggaeton,Jay Wheeler,La Curiosidad,81,2020
reggaeton,Jay Wheeler,Nota,75,2025
reggaeton,Jay Wheeler,Desde Mis Ojos - Remix,66,2025
reggaeton,Jay Wheeler,Extrañándote,72,2023
reggaeton,Jay Wheeler,Dime Que Sí,72,2019
reggaeton,Jay Wheeler,Cuando Fue,71,2020
reggaeton,Jay Wheeler,PACTO (feat. Bryant Myers & Dei V) - Remix,64,2023
reggaeton,Jay Wheeler,Lugar Seguro,70,2022
reggaeton,Jay Wheeler,Eazt,69,2022
reggaeton,Jay Wheeler,¿Que Te Pasó?,69,2024
reggaeton,DJ Luian,Me Mata,75,2017
